,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,timestamp
0,584304,Nandanvan UHC,"Street No - 4, Nandanvan Society , Nanavati Chowk, 150 Ft Ring Road, Rajkot",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '707ebc18-6862-456f-9c9e-51deff903ac5', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '382c0745-516b-420b-9390-3fc200019d97', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'cc2181a6-022d-4d94-88cf-2765c51672f9', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '6f4228aa-4b38-440e-afa9-a4947498f7d3', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 12:41:41.649538
1,553874,Shyamnagar UHC,"3 4 Shyamnagar Corner, Behind Bileshwer Mahadev Temple, Gandhigram",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'adf4859a-94fb-47d0-bf32-f03df6bfdd54', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 12:41:41.649538
2,692651,School No.89 Raiya Gam,RAIYA GAM Opp. Gam Panchayat,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '4ef893ff-4a9f-48d0-a1d5-07a25a5e79e3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 12:41:41.649538
3,672410,SCHOOL-90 GANDHIGRAM-5,SCHOOL NO. 90S.K.CHOKGANDHIGRAMRAJKOT,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'df788f20-c622-4e25-92cc-de89bc4dd0e6', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 12:41:41.649538
4,670769,SCHOOL-56 GitGurjari Main Road,GIT GURJARI SOCIETYBH.WARD OFFICENR.JAIN DERASAR,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'dcc50bfd-2be9-4144-8b1d-e207d3e81216', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 12:41:41.649538
0,584304,Nandanvan UHC,"Street No - 4, Nandanvan Society , Nanavati Chowk, 150 Ft Ring Road, Rajkot",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '707ebc18-6862-456f-9c9e-51deff903ac5', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '382c0745-516b-420b-9390-3fc200019d97', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'cc2181a6-022d-4d94-88cf-2765c51672f9', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '6f4228aa-4b38-440e-afa9-a4947498f7d3', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 12:48:16.635389
1,553874,Shyamnagar UHC,"3 4 Shyamnagar Corner, Behind Bileshwer Mahadev Temple, Gandhigram",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'adf4859a-94fb-47d0-bf32-f03df6bfdd54', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 12:48:16.635389
2,692651,School No.89 Raiya Gam,RAIYA GAM Opp. Gam Panchayat,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '4ef893ff-4a9f-48d0-a1d5-07a25a5e79e3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 12:48:16.635389
3,672410,SCHOOL-90 GANDHIGRAM-5,SCHOOL NO. 90S.K.CHOKGANDHIGRAMRAJKOT,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'df788f20-c622-4e25-92cc-de89bc4dd0e6', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 12:48:16.635389
4,670769,SCHOOL-56 GitGurjari Main Road,GIT GURJARI SOCIETYBH.WARD OFFICENR.JAIN DERASAR,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'dcc50bfd-2be9-4144-8b1d-e207d3e81216', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 12:48:16.635389
0,584304,Nandanvan UHC,"Street No - 4, Nandanvan Society , Nanavati Chowk, 150 Ft Ring Road, Rajkot",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '707ebc18-6862-456f-9c9e-51deff903ac5', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '382c0745-516b-420b-9390-3fc200019d97', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'cc2181a6-022d-4d94-88cf-2765c51672f9', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '6f4228aa-4b38-440e-afa9-a4947498f7d3', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 12:54:43.657510
1,553874,Shyamnagar UHC,"3 4 Shyamnagar Corner, Behind Bileshwer Mahadev Temple, Gandhigram",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'adf4859a-94fb-47d0-bf32-f03df6bfdd54', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 12:54:43.657510
2,692651,School No.89 Raiya Gam,RAIYA GAM Opp. Gam Panchayat,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '4ef893ff-4a9f-48d0-a1d5-07a25a5e79e3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 12:54:43.657510
3,672410,SCHOOL-90 GANDHIGRAM-5,SCHOOL NO. 90S.K.CHOKGANDHIGRAMRAJKOT,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'df788f20-c622-4e25-92cc-de89bc4dd0e6', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 12:54:43.657510
4,670769,SCHOOL-56 GitGurjari Main Road,GIT GURJARI SOCIETYBH.WARD OFFICENR.JAIN DERASAR,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'dcc50bfd-2be9-4144-8b1d-e207d3e81216', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 12:54:43.657510
0,584304,Nandanvan UHC,"Street No - 4, Nandanvan Society , Nanavati Chowk, 150 Ft Ring Road, Rajkot",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '707ebc18-6862-456f-9c9e-51deff903ac5', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '382c0745-516b-420b-9390-3fc200019d97', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'cc2181a6-022d-4d94-88cf-2765c51672f9', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '6f4228aa-4b38-440e-afa9-a4947498f7d3', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:01:14.061050
1,553874,Shyamnagar UHC,"3 4 Shyamnagar Corner, Behind Bileshwer Mahadev Temple, Gandhigram",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'adf4859a-94fb-47d0-bf32-f03df6bfdd54', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:01:14.061050
2,692651,School No.89 Raiya Gam,RAIYA GAM Opp. Gam Panchayat,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '4ef893ff-4a9f-48d0-a1d5-07a25a5e79e3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:01:14.061050
3,672410,SCHOOL-90 GANDHIGRAM-5,SCHOOL NO. 90S.K.CHOKGANDHIGRAMRAJKOT,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'df788f20-c622-4e25-92cc-de89bc4dd0e6', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:01:14.061050
4,670769,SCHOOL-56 GitGurjari Main Road,GIT GURJARI SOCIETYBH.WARD OFFICENR.JAIN DERASAR,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'dcc50bfd-2be9-4144-8b1d-e207d3e81216', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:01:14.061050
0,584304,Nandanvan UHC,"Street No - 4, Nandanvan Society , Nanavati Chowk, 150 Ft Ring Road, Rajkot",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '707ebc18-6862-456f-9c9e-51deff903ac5', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '382c0745-516b-420b-9390-3fc200019d97', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'cc2181a6-022d-4d94-88cf-2765c51672f9', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '6f4228aa-4b38-440e-afa9-a4947498f7d3', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:07:44.976385
1,553874,Shyamnagar UHC,"3 4 Shyamnagar Corner, Behind Bileshwer Mahadev Temple, Gandhigram",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'adf4859a-94fb-47d0-bf32-f03df6bfdd54', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:07:44.976385
2,692651,School No.89 Raiya Gam,RAIYA GAM Opp. Gam Panchayat,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '4ef893ff-4a9f-48d0-a1d5-07a25a5e79e3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:07:44.976385
3,672410,SCHOOL-90 GANDHIGRAM-5,SCHOOL NO. 90S.K.CHOKGANDHIGRAMRAJKOT,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'df788f20-c622-4e25-92cc-de89bc4dd0e6', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:07:44.976385
4,670769,SCHOOL-56 GitGurjari Main Road,GIT GURJARI SOCIETYBH.WARD OFFICENR.JAIN DERASAR,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'dcc50bfd-2be9-4144-8b1d-e207d3e81216', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:07:44.976385
0,584304,Nandanvan UHC,"Street No - 4, Nandanvan Society , Nanavati Chowk, 150 Ft Ring Road, Rajkot",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '707ebc18-6862-456f-9c9e-51deff903ac5', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '382c0745-516b-420b-9390-3fc200019d97', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'cc2181a6-022d-4d94-88cf-2765c51672f9', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '6f4228aa-4b38-440e-afa9-a4947498f7d3', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:14:16.941768
1,553874,Shyamnagar UHC,"3 4 Shyamnagar Corner, Behind Bileshwer Mahadev Temple, Gandhigram",Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': 'adf4859a-94fb-47d0-bf32-f03df6bfdd54', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:14:16.941768
2,692651,School No.89 Raiya Gam,RAIYA GAM Opp. Gam Panchayat,Gujarat,Rajkot Corporation,West Zone,360007,22,70,09:00:00,18:00:00,Free,"[{'session_id': '4ef893ff-4a9f-48d0-a1d5-07a25a5e79e3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 13:14:16.941768
