,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,timestamp
0,473096,AH Tuni Govt,AH Tuni,Andhra Pradesh,East Godavari,Tuni,533401,17,82,06:00:00,12:00:00,Free,"[{'session_id': '61183aef-f028-4a3d-ab69-6363d6812ae3', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['06:00AM-07:00AM', '07:00AM-08:00AM', '08:00AM-09:00AM', '09:00AM-12:00PM']}]",2021-05-09 01:01:42.751586
1,601939,Tuni UFWC,Suravaram RaodKothapeta,Andhra Pradesh,East Godavari,Tuni,533401,17,82,06:00:00,12:00:00,Free,"[{'session_id': '8e9f39a5-8108-4647-9f74-9b9de5557bf6', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['06:00AM-07:00AM', '07:00AM-08:00AM', '08:00AM-09:00AM', '09:00AM-12:00PM']}]",2021-05-09 01:01:42.751586
2,593318,UPHC Sitarampuram Govt,UPHC Sitarampuram Tuni,Andhra Pradesh,East Godavari,Tuni,533401,17,82,06:00:00,12:00:00,Free,"[{'session_id': 'f5217a7a-7120-4c15-b233-7672b375999f', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['06:00AM-07:00AM', '07:00AM-08:00AM', '08:00AM-09:00AM', '09:00AM-12:00PM']}]",2021-05-09 01:01:42.751586
3,563884,Tuni EUPHC MRpeta Sachivalayam,PPU Tuni FLW Municipality,Andhra Pradesh,East Godavari,Tuni,533401,25,48,09:00:00,18:00:00,Free,"[{'session_id': 'b156ac00-826a-4a02-931d-19b3d3bbae16', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 01:01:42.751586
0,473096,AH Tuni Govt,AH Tuni,Andhra Pradesh,East Godavari,Tuni,533401,17,82,06:00:00,12:00:00,Free,"[{'session_id': '61183aef-f028-4a3d-ab69-6363d6812ae3', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['06:00AM-07:00AM', '07:00AM-08:00AM', '08:00AM-09:00AM', '09:00AM-12:00PM']}]",2021-05-09 01:03:48.447279
1,601939,Tuni UFWC,Suravaram RaodKothapeta,Andhra Pradesh,East Godavari,Tuni,533401,17,82,06:00:00,12:00:00,Free,"[{'session_id': '8e9f39a5-8108-4647-9f74-9b9de5557bf6', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['06:00AM-07:00AM', '07:00AM-08:00AM', '08:00AM-09:00AM', '09:00AM-12:00PM']}]",2021-05-09 01:03:48.447279
2,593318,UPHC Sitarampuram Govt,UPHC Sitarampuram Tuni,Andhra Pradesh,East Godavari,Tuni,533401,17,82,06:00:00,12:00:00,Free,"[{'session_id': 'f5217a7a-7120-4c15-b233-7672b375999f', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['06:00AM-07:00AM', '07:00AM-08:00AM', '08:00AM-09:00AM', '09:00AM-12:00PM']}]",2021-05-09 01:03:48.447279
3,563884,Tuni EUPHC MRpeta Sachivalayam,PPU Tuni FLW Municipality,Andhra Pradesh,East Godavari,Tuni,533401,25,48,09:00:00,18:00:00,Free,"[{'session_id': 'b156ac00-826a-4a02-931d-19b3d3bbae16', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 01:03:48.447279
0,473096,AH Tuni Govt,AH Tuni,Andhra Pradesh,East Godavari,Tuni,533401,17,82,06:00:00,12:00:00,Free,"[{'session_id': '61183aef-f028-4a3d-ab69-6363d6812ae3', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['06:00AM-07:00AM', '07:00AM-08:00AM', '08:00AM-09:00AM', '09:00AM-12:00PM']}]",2021-05-09 01:05:53.908299
1,601939,Tuni UFWC,Suravaram RaodKothapeta,Andhra Pradesh,East Godavari,Tuni,533401,17,82,06:00:00,12:00:00,Free,"[{'session_id': '8e9f39a5-8108-4647-9f74-9b9de5557bf6', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['06:00AM-07:00AM', '07:00AM-08:00AM', '08:00AM-09:00AM', '09:00AM-12:00PM']}]",2021-05-09 01:05:53.908299
2,593318,UPHC Sitarampuram Govt,UPHC Sitarampuram Tuni,Andhra Pradesh,East Godavari,Tuni,533401,17,82,06:00:00,12:00:00,Free,"[{'session_id': 'f5217a7a-7120-4c15-b233-7672b375999f', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['06:00AM-07:00AM', '07:00AM-08:00AM', '08:00AM-09:00AM', '09:00AM-12:00PM']}]",2021-05-09 01:05:53.908299
3,563884,Tuni EUPHC MRpeta Sachivalayam,PPU Tuni FLW Municipality,Andhra Pradesh,East Godavari,Tuni,533401,25,48,09:00:00,18:00:00,Free,"[{'session_id': 'b156ac00-826a-4a02-931d-19b3d3bbae16', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 01:05:53.908299
0,473096,AH Tuni Govt,AH Tuni,Andhra Pradesh,East Godavari,Tuni,533401,17,82,06:00:00,12:00:00,Free,"[{'session_id': '61183aef-f028-4a3d-ab69-6363d6812ae3', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['06:00AM-07:00AM', '07:00AM-08:00AM', '08:00AM-09:00AM', '09:00AM-12:00PM']}]",2021-05-09 01:07:58.494834
1,601939,Tuni UFWC,Suravaram RaodKothapeta,Andhra Pradesh,East Godavari,Tuni,533401,17,82,06:00:00,12:00:00,Free,"[{'session_id': '8e9f39a5-8108-4647-9f74-9b9de5557bf6', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['06:00AM-07:00AM', '07:00AM-08:00AM', '08:00AM-09:00AM', '09:00AM-12:00PM']}]",2021-05-09 01:07:58.494834
2,593318,UPHC Sitarampuram Govt,UPHC Sitarampuram Tuni,Andhra Pradesh,East Godavari,Tuni,533401,17,82,06:00:00,12:00:00,Free,"[{'session_id': 'f5217a7a-7120-4c15-b233-7672b375999f', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['06:00AM-07:00AM', '07:00AM-08:00AM', '08:00AM-09:00AM', '09:00AM-12:00PM']}]",2021-05-09 01:07:58.494834
3,563884,Tuni EUPHC MRpeta Sachivalayam,PPU Tuni FLW Municipality,Andhra Pradesh,East Godavari,Tuni,533401,25,48,09:00:00,18:00:00,Free,"[{'session_id': 'b156ac00-826a-4a02-931d-19b3d3bbae16', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 01:07:58.494834
0,473096,AH Tuni Govt,AH Tuni,Andhra Pradesh,East Godavari,Tuni,533401,17,82,06:00:00,12:00:00,Free,"[{'session_id': '61183aef-f028-4a3d-ab69-6363d6812ae3', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['06:00AM-07:00AM', '07:00AM-08:00AM', '08:00AM-09:00AM', '09:00AM-12:00PM']}]",2021-05-09 01:10:09.320372
